,Unnamed: 0,target_study,Meta_iTL_all_cohort_lefse,Meta_iTL_all_cohort_MaAsLin,Meta_iTL_all_cohort_Ancom,FR-CRC_lefse,FR-CRC_MaAsLin,FR-CRC_Ancom,AT-CRC_lefse,AT-CRC_MaAsLin,AT-CRC_Ancom,ITA-CRC_lefse,ITA-CRC_MaAsLin,ITA-CRC_Ancom,JPN-CRC_lefse,JPN-CRC_MaAsLin,JPN-CRC_Ancom,US-CRC-2_lefse,US-CRC-2_MaAsLin,US-CRC-2_Ancom,US-CRC-3_lefse,US-CRC-3_MaAsLin,US-CRC-3_Ancom,CHN_WF-CRC_lefse,CHN_WF-CRC_MaAsLin,CHN_WF-CRC_Ancom,CHN_SH-CRC-2_lefse,CHN_SH-CRC-2_MaAsLin,CHN_SH-CRC-2_Ancom,Feature
10,10,,Coprococcus_comes,Streptococcus_mitis,Candidatus_Cibionibacter_quicibialis,Erysipelatoclostridium_ramosum,Blautia_luti,,Dorea_sp_AF24_7LB,GGB4684_SGB6478,,Lachnospira_eligens,Clostridium_SGB4648,,Alistipes_sp_AF17_16,Streptococcus_thermophilus,,Clostridiales_bacterium,Bacteroides_caccae,,GGB9453_SGB14844,Bifidobacterium_pseudocatenulatum,,GGB3175_SGB4191,Gemmiger_SGB15299,,Staphylococcus_SGB6340,Parabacteroides_distasonis,,Erysipelatoclostridium_ramosum
11,11,,GGB9635_SGB15106,Blautia_faecis,Anaerobutyricum_hallii,Butyricicoccus_sp_AM29_23AC,Gemmiger_SGB15295,,Clostridium_sp_AM33_3,GGB9635_SGB15106,,Anaerobutyricum_hallii,GGB9342_SGB14306,,Megasphaera_micronuciformis,Alistipes_sp_AF17_16,,Alistipes_communis,Odoribacter_splanchnicus,,Vescimonas_SGB15087,GGB3614_SGB4886,,Gemella_sanguinis,Lacrimispora_saccharolytica,,Lawsonibacter_asaccharolyticus,Butyricimonas_paravirosa,,Butyricicoccus_sp_AM29_23AC
12,12,,Bifidobacterium_pseudocatenulatum,Ruminococcus_SGB4421,Clostridium_SGB4750,Ruminococcus_sp_AF46_10NS,Phocaeicola_plebeius,,Clostridium_sp_AT4,Anaerostipes_hadrus,,Clostridium_fessum,Dorea_formicigenerans,,Bacteroides_nordii,Desulfovibrio_piger,,Lawsonibacter_asaccharolyticus,Parasutterella_SGB9260,,,Butyricimonas_virosa,,Gemmiger_SGB15299,GGB9770_SGB15390,,Holdemania_filiformis,Streptococcus_mitis,,Ruminococcus_sp_AF46_10NS
13,13,,Holdemanella_porci,Holdemanella_porci,Clostridiales_bacterium,Clostridia_bacterium_UC5_1_1E11,Enterocloster_aldenensis,,,Dorea_sp_AF24_7LB,,Blautia_SGB4815,Blautia_wexlerae,,Blautia_massiliensis,Gemmiger_SGB15295,,Dysosmobacter_welbionis,Alistipes_communis,,,GGB9345_SGB14311,,,Streptococcus_anginosus,,Ruminococcus_sp_AF41_9,Gemella_sanguinis,,Clostridia_bacterium_UC5_1_1E11
14,14,,Clostridiaceae_bacterium,GGB9534_SGB14937,Dysosmobacter_welbionis,Clostridium_scindens,Clostridium_scindens,,,GGB9614_SGB15049,,GGB3363_SGB4447,Blautia_faecis,,Ruminococcus_callidus,Ruminococcus_sp_AF41_9,,Blautia_sp_MSK_20_85,Clostridiales_bacterium,,,Roseburia_intestinalis,,,GGB3175_SGB4191,,Granulicatella_SGB8255,Enterobacter_hormaechei,,Clostridium_scindens
15,15,,GGB3304_SGB4367,GGB42994_SGB4746,,Blautia_faecicola,Erysipelatoclostridium_ramosum,,,Gemmiger_SGB15295,,Streptococcus_thermophilus,Blautia_massiliensis,,Clostridiales_bacterium_Choco116,Tyzzerella_nexilis,,Parasutterella_excrementihominis,Faecalibacterium_SGB15315,,,Gemmiger_SGB15295,,,,,Streptococcus_mitis,Ruminococcus_lactaris,,Blautia_faecicola
16,16,,Clostridium_SGB4750,Clostridiales_bacterium_Choco116,,Clostridium_sp_AF12_28,Anaeromassilibacillus_sp_An250,,,Clostridium_sp_AM49_4BH,,Clostridium_sp_AM22_11AC,Dorea_sp_AF36_15AT,,Desulfovibrio_piger,Veillonella_atypica,,Clostridium_SGB4750,Lawsonibacter_asaccharolyticus,,,Alistipes_ihumii,,,,,Streptococcus_infantis,Phascolarctobacterium_faecium,,Clostridium_sp_AF12_28
17,17,,Butyricimonas_SGB15260,Dysosmobacter_sp_NSJ_60,,Clostridia_bacterium_UC5_1_1D1,Ruminococcus_sp_AF46_10NS,,,,,GGB3277_SGB4327,GGB34797_SGB14322,,GGB42994_SGB4746,GGB42994_SGB4746,,GGB3109_SGB4119,GGB9619_SGB15067,,,Mesosutterella_multiformis,,,,,Streptococcus_australis,Escherichia_coli,,Clostridia_bacterium_UC5_1_1D1
18,18,,Bacteroides_xylanisolvens,GGB9614_SGB15049,,Anaeromassilibacillus_sp_An250,Blautia_faecicola,,,,,GGB3653_SGB4964,Evtepia_gabavorous,,Streptococcus_thermophilus,Clostridiales_bacterium_Choco116,,Streptococcus_thermophilus,Alistipes_ihumii,,,Faecalibacterium_SGB15346,,,,,Gemella_sanguinis,Klebsiella_pneumoniae,,Anaeromassilibacillus_sp_An250
19,19,,Eubacterium_ventriosum,GGB3109_SGB4119,,Clostridium_symbiosum,Clostridia_bacterium_UC5_1_1D1,,,,,Evtepia_gabavorous,Ruminococcus_SGB4421,,Sellimonas_intestinalis,Sutterella_wadsworthensis,,GGB9627_SGB15081,Ruminococcus_lactaris,,,Clostridium_saudiense,,,,,,Granulicatella_SGB8255,,Clostridium_symbiosum
20,20,,Flavonifractor_plautii,Clostridium_sp_AM42_4,,Senegalimassilia_anaerobia,Bacteroides_intestinalis,,,,,Holdemanella_porci,Gemella_sanguinis,,Alistipes_ihumii,Blautia_massiliensis,,Evtepia_gabavorous,Bacteroides_finegoldii,,,Dysosmobacter_welbionis,,,,,,,,Senegalimassilia_anaerobia
21,21,,Bifidobacterium_catenulatum,Veillonella_atypica,,,Anaerostipes_caccae,,,,,Clostridiales_Family_XIII_bacterium_BX16,Dorea_sp_AF24_7LB,,Butyricimonas_faecihominis,Ruminococcus_callidus,,Lacrimispora_amygdalina,Bacteroides_thetaiotaomicron,,,,,,,,,,,Enterococcus_faecalis
22,22,,Odoribacter_splanchnicus,Lachnospira_eligens,,,Enterocloster_clostridioformis,,,,,Dorea_sp_AF36_15AT,Anaerobutyricum_hallii,,,Butyricimonas_faecihominis,,GGB2653_SGB3574,Clostridium_fessum,,,,,,,,,,,Streptococcus_thermophilus
23,23,,Streptococcus_thermophilus,Clostridiales_bacterium_KLE1615,,,,,,,,Clostridium_SGB4648,GGB1495_SGB2071,,,Enterobacter_hormaechei,,Flavonifractor_plautii,Parasutterella_excrementihominis,,,,,,,,,,,Megasphaera_micronuciformis
24,24,,Gemmiger_SGB15299,Senegalimassilia_anaerobia,,,,,,,,GGB34797_SGB14322,GGB3363_SGB4447,,,Longicatena_caecimuris,,Rheinheimera_SGB14999,GGB2653_SGB3574,,,,,,,,,,,Clostridiaceae_bacterium
25,25,,Erysipelatoclostridium_ramosum,Faecalibacillus_intestinalis,,,,,,,,Blautia_glucerasea,Blautia_glucerasea,,,,,Hydrogenoanaerobacterium_saccharovorans,Lacrimispora_amygdalina,,,,,,,,,,,Phascolarctobacterium_faecium
26,26,,Parasutterella_excrementihominis,Veillonella_tobetsuensis,,,,,,,,GGB9524_SGB14924,Romboutsia_timonensis,,,,,Bilophila_wadsworthia,GGB9627_SGB15081,,,,,,,,,,,Klebsiella_pneumoniae
27,27,,Coprobacter_fastidiosus,Clostridium_sp_AF20_17LB,,,,,,,,Dorea_sp_AF24_7LB,Bifidobacterium_adolescentis,,,,,Lacrimispora_saccharolytica,GGB2998_SGB3988,,,,,,,,,,,Enterobacter_hormaechei
28,28,,Clostridiales_bacterium,Phascolarctobacterium_succinatutens,,,,,,,,Romboutsia_timonensis,Blautia_obeum,,,,,Clostridium_sp_AF20_17LB,Clostridium_SGB4750,,,,,,,,,,,Parasutterella_excrementihominis
29,29,,Megasphaera_micronuciformis,Streptococcus_gordonii,,,,,,,,Intestinibacter_bartlettii,,,,,,GGB2998_SGB3988,Blautia_sp_MSK_20_85,,,,,,,,,,,Streptococcus_mitis
30,30,,Ruminococcus_SGB4421,Dysosmobacter_welbionis,,,,,,,,Ruminococcus_sp_AF41_9,,,,,,Lachnospira_pectinoschiza,Erysipelatoclostridium_ramosum,,,,,,,,,,,Blautia_faecis
31,31,,Coprococcus_catus,Bacteroides_xylanisolvens,,,,,,,,Gemella_sanguinis,,,,,,Faecalimonas_umbilicata,Eisenbergiella_massiliensis,,,,,,,,,,,Ruminococcus_SGB4421
32,32,,Enterocloster_bolteae,Anaerostipes_hadrus,,,,,,,,,,,,,,Enterocloster_bolteae,Hydrogenoanaerobacterium_saccharovorans,,,,,,,,,,,Holdemanella_porci
33,33,,GGB9712_SGB15244,Desulfovibrio_piger,,,,,,,,,,,,,,Clostridium_fessum,Bilophila_wadsworthia,,,,,,,,,,,GGB9534_SGB14937
34,34,,GGB9642_SGB15119,GGB6569_SGB9281,,,,,,,,,,,,,,Erysipelatoclostridium_ramosum,Rheinheimera_SGB14999,,,,,,,,,,,GGB42994_SGB4746
35,35,,GGB3653_SGB4964,Clostridium_sp_AF27_2AA,,,,,,,,,,,,,,GGB9619_SGB15067,Lachnospira_pectinoschiza,,,,,,,,,,,Clostridiales_bacterium_Choco116
36,36,,Blautia_producta,Veillonella_parvula,,,,,,,,,,,,,,Eisenbergiella_massiliensis,Enterocloster_bolteae,,,,,,,,,,,Dysosmobacter_sp_NSJ_60
37,37,,Desulfovibrio_piger,Ruminococcus_lactaris,,,,,,,,,,,,,,,Blautia_massiliensis,,,,,,,,,,,GGB9614_SGB15049
38,38,,Clostridium_sp_AM49_4BH,Coprobacter_fastidiosus,,,,,,,,,,,,,,,Firmicutes_bacterium_AF16_15,,,,,,,,,,,GGB3109_SGB4119
39,39,,GGB42994_SGB4746,Clostridium_sp_AM33_3,,,,,,,,,,,,,,,Phocaeicola_vulgatus,,,,,,,,,,,Clostridium_sp_AM42_4
40,40,,Enterococcus_faecalis,Lachnospiraceae_bacterium_Marseille_Q4251,,,,,,,,,,,,,,,Alistipes_shahii,,,,,,,,,,,Veillonella_atypica
41,41,,Clostridium_sp_AM42_4,GGB3363_SGB4448,,,,,,,,,,,,,,,Fusicatenibacter_saccharivorans,,,,,,,,,,,Lachnospira_eligens
42,42,,Ruminococcus_sp_AF46_10NS,GGB9758_SGB15368,,,,,,,,,,,,,,,Clostridiaceae_bacterium_AF18_31LB,,,,,,,,,,,Clostridiales_bacterium_KLE1615
43,43,,Blautia_luti,,,,,,,,,,,,,,,,Bacteroides_ovatus,,,,,,,,,,,Faecalibacillus_intestinalis
44,44,,Blautia_glucerasea,,,,,,,,,,,,,,,,Clostridiaceae_bacterium,,,,,,,,,,,Veillonella_tobetsuensis
45,45,,Faecalibacillus_faecis,,,,,,,,,,,,,,,,Clostridium_sp_AF36_4,,,,,,,,,,,Clostridium_sp_AF20_17LB
46,46,,Oscillospiraceae_bacterium_Marseille_Q3528,,,,,,,,,,,,,,,,,,,,,,,,,,,Phascolarctobacterium_succinatutens
47,47,,Gemella_sanguinis,,,,,,,,,,,,,,,,,,,,,,,,,,,Streptococcus_gordonii
48,48,,Clostridium_SGB4751,,,,,,,,,,,,,,,,,,,,,,,,,,,Dysosmobacter_welbionis
49,49,,GGB33469_SGB15236,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_xylanisolvens
50,50,,Ruminococcus_callidus,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaerostipes_hadrus
51,51,,Negativibacillus_massiliensis,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB6569_SGB9281
52,52,,Streptococcus_mitis,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AF27_2AA
53,53,,Enterococcus_faecium,,,,,,,,,,,,,,,,,,,,,,,,,,,Veillonella_parvula
54,54,,Blautia_sp_Marseille_P3087,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruminococcus_lactaris
55,55,,Dysosmobacter_welbionis,,,,,,,,,,,,,,,,,,,,,,,,,,,Coprobacter_fastidiosus
56,56,,GGB3109_SGB4119,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AM33_3
57,57,,Clostridia_bacterium_UC5_1_1D1,,,,,,,,,,,,,,,,,,,,,,,,,,,Lachnospiraceae_bacterium_Marseille_Q4251
58,58,,Senegalimassilia_anaerobia,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB3363_SGB4448
59,59,,Streptococcus_gordonii,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9758_SGB15368
60,60,,Clostridiales_Family_XIII_bacterium_BX16,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_uniformis
61,61,,Rothia_mucilaginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,Eubacterium_ventriosum
62,62,,GGB9559_SGB14969,,,,,,,,,,,,,,,,,,,,,,,,,,,Odoribacter_splanchnicus
63,63,,Faecalibacterium_SGB15315,,,,,,,,,,,,,,,,,,,,,,,,,,,Parabacteroides_distasonis
64,64,,Enterobacter_hormaechei,,,,,,,,,,,,,,,,,,,,,,,,,,,Coprococcus_comes
65,65,,GGB3614_SGB4886,,,,,,,,,,,,,,,,,,,,,,,,,,,Candidatus_Cibionibacter_quicibialis
66,66,,Lacrimispora_saccharolytica,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaerobutyricum_hallii
67,67,,Streptococcus_vestibularis,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_SGB4750
68,68,,GGB80140_SGB15224,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridiales_bacterium
69,69,,Dysosmobacter_sp_NSJ_60,,,,,,,,,,,,,,,,,,,,,,,,,,,Blautia_wexlerae
70,70,,Alistipes_ihumii,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB9635_SGB15106
71,71,,Oscillospiraceae_unclassified_SGB15256,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_faecis
72,72,,Enterocloster_citroniae,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacteroides_clarus
73,73,,Clostridium_SGB6179,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaerobutyricum_soehngenii
74,74,,GGB9760_SGB15373,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_fessum
75,75,,Dorea_sp_AF24_7LB,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorea_sp_AF24_7LB
76,76,,GGB3363_SGB4448,,,,,,,,,,,,,,,,,,,,,,,,,,,Clostridium_sp_AT4
77,77,,GGB9614_SGB15049,,,,,,,,,,,,,,,,,,,,,,,,,,,GGB1495_SGB2071
78,78,,Merdimonas_faecis,,,,,,,,,,,,,,,,,,,,,,,,,,,Akkermansia_muciniphila
