"","SRR13836064","SRR13836061","SRR13836096","SRR13836086","SRR13836068","SRR13836072","SRR13836094","SRR13836071","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147"
"GGB9636_SGB15107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",0.00606017240286584,0.00119201961546711,0.644230997489062,0.00145175484394511,0.0499950997640952,0.0466658848026672,1.18915482680909,0.00177935629469783,0.014239894767462,0.211605655634332,0.00148045530110213,0.028970001078844,0.00255870960798848,0.0202688506320932,0.336329012987461,0.924283068884962,0.0115893305789268
"Ruminococcus_bicirculans",0.0210867463948553,0,5.07572921379791e-06,0.000107503400893332,0.0596804700636017,0.000382532554727045,0.00111119207795302,0.0421701530117283,0.000985387251808365,7.09486361308671e-05,0.0115890405578162,0,0.00280132910068922,0,0.000698880289746868,0.0259161780598357,0.00525977636435819
"Bacteroides_ovatus",0.00494947910069997,0.00563591185735074,0.000185959044302821,0.0732130017263566,0.0182582770860934,0.0070158395079921,0.371903254236587,0.0151198139736572,0.00708473707824427,0.0300018862166297,0.112215738129128,0.0495987363595287,0.019407916515985,0.0872782975409365,0.0830693913294726,0.00383964477628144,0.0322301236051346
"Lachnospiraceae_bacterium",0.000134933109372758,0,0,0.0017383098625554,0,0,0,0,0,0,0,0,0.000891826160287955,0.000886008339774895,0,0,2.92042238741658e-05
"Faecalibacillus_intestinalis",0.00927104980243532,0,0,0.000674667117344607,0.000359453785350658,0,0.000648238516553619,0,0.000281042532756179,0,0,0.000451546727925131,0,0.00234869005793677,0,0.000410800939657589,0.000174914987166733
"GGB3612_SGB4882",0,0,0,0,0,0,0,0,0.0130881740567331,0,0.000491721773291917,0,0,0,0,0,0.000131294832872498
"Blautia_wexlerae",0.0548009665814905,0.00138766126308032,0.000775897957869453,0.0347048941529436,0.00156689687143382,0.00674601270917866,0.00101329771627571,0.286023376331212,0.00104675009595661,0,0.0193548309963046,0.000856041058204256,0.000680527065329887,0.00646448818471607,0.000883757816086363,0.00561789372873085,0.00108708565377798
"Eubacterium_siraeum",0,0,0,0,0,0,0,0,8.64845159003892e-05,0,0.0402673536163457,0,0,0,0,0.0542430493831842,0
"Eubacteriaceae_bacterium",0.0125001064554075,0,0,0.00232494176513346,0.000688302697507842,0,0,0,0.00278707691249243,0,0,0,0.0461947052232626,0.00913136039732061,0.0184679562046118,0.00755210484684052,0.00491639509133107
"GGB3653_SGB4964",0,0,0,0.000949846806109449,0,0,0,0,0.00235084565035596,0,0,0,0,0,0,0.00108180088389875,0.000351222742737594
"GGB3614_SGB4886",0,0,0,0,0,0,0,0,0.00248634842643636,0,0,0,0,0,0,0,0.00117708595054067
"Staphylococcus_SGB6340",0,0,0,0,0.00198034331170726,0,0,0,0.00161759599636957,0,0,0,0,0,0,0,0.00108331977739801
"Parabacteroides_merdae",0.0171335194290331,0.00260450246392754,0.00021651190843434,8.97144025198601e-05,0.0233843507410882,0.0035182332210684,0.0385472281453936,0.000148827688696242,0.116549753243267,0.35889715165281,0.0598070473353514,0.0700279863060797,0.000565511560550032,0.0724261329351929,0.113945606683366,0.000433111157318757,0.0406149010318227
"Phascolarctobacterium_faecium",0.0191297546101239,0.0122165092293926,0.000111775594818046,0.0209316952037049,0.00125826859782714,0.0467656295930084,0.095429773864989,0.0032041846628892,0.26276498474242,0.0461662912032202,0.00618796888597872,0.0471805973594759,0.000363571244576728,0.0586684923042569,0.00587632529855499,0.00215023791861689,0.0572684778988597
"Clostridiaceae_bacterium",0.0154439314299754,0,0,0.0887941946697167,0.00149723484148921,0,0,0.0193189223628033,0.00355074201746484,7.52068376289112e-05,0.0121290640670766,0.00014554953180459,0.000453740154823022,0.0514828038558647,0.000596152142786616,0.00098957590040755,0.014695309857379
"Faecalicatena_fissicatena",0,0,0,0.0274136484865951,8.05254953495786e-05,0,0,0.000550352991476188,0.00128585515896553,0,0.000155891802947225,0,0.000817626112103272,0.0169106043433313,0,0,0.00130780979634637
"GGB51269_SGB5062",0,0,0,0,0,0,0,0,0.0172931991141459,0,0.000272034874661852,0,0.00113658263817416,0,0,0.0839307818250363,0.00269849736753882
"Blautia_sp_Marseille_P3087",0,0,0,0.000243422093145817,0,0,0,0.00304092435096024,0,0,0,0,0,0.000485882247196835,0,0,5.41676007975814e-05
