"","SRR13836080","SRR13836083","SRR13836084","SRR13836072","SRR13836096","SRR13836087","SRR13836060","SRR13836071","SRR13836058","SRR13836094","SRR13836073","SRR13836091","SRR13836086","SRR13836066","SRR13836063","SRR13836092","SRR13836082","SRR13836074","SRR13836101","SRR13836064","SRR13836095","SRR13836088","SRR13836099","SRR13836069","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147","SRR13836176","SRR13836143","SRR13836148","SRR13836145","SRR13836160","SRR13836167","SRR13836137","SRR13836133","SRR13836155","SRR13836135","SRR13836142","SRR13836134","SRR13836172","SRR13836168","SRR13836154","SRR13836152","SRR13836169","SRR13836171","SRR13836146"
"GGB9627_SGB15081",0.000845968274330699,0.00108646524733973,0.000116739880743338,0,0,0.000961939027384502,0,0,0,0,0.000278108414051217,0.00803047733186347,0.00802399070213365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297623750521327,0,0,0.000990368325498009,0,0,0,0,0,0,0,0,0,0,0,0,0.0315185035195638,0.00350354371968345,0.000559993744931257,0,0,0,0
"Clostridiales_bacterium",0,0.00018578298791755,0.000558974245533751,0,0,0.000459125479267425,0,0.0151033413953661,0,0.0503376132304135,0.000616163321203507,0,0,0.00309322075969483,0,0.167687267083277,0.00973470164902381,0.00186112584718537,0.00584242315766814,0,0.000337964537700536,0,0.00634227418539561,0,0.00028664093122446,0.000170608713759464,0.0086947025086586,0.00164083311509218,0.000228323446530856,0.0001495925571197,0.00136794371031363,0,0.000215680854785887,0,0.00159155156978885,0.0168441563485193,0,0.00798310763658728,3.20063143296571e-05,0.00124666092512811,0.026937213841215,0.0344856239754899,0,0.0117860390847765,0.00896829676252341,0.00131190082995733,0.000136704724151062,0.0075685122492417,0,0,0.00832679382248278,0.0106388675144074
"Eubacteriales_unclassified_SGB15145",0,0.000213126578855827,0.000772967427196681,0,0,0,0,0,0,0,0,0,0,0.00350038004187506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182943542547286,0.00137952284887884,0.000139787526990707,0,0,9.31785443905355e-06,0,0,0.00149324435216617,0,0,0.0129641737055601,0,0,0,0,0,0,0.00246203419026438,0,0.00039174371301436,0,0,0,0
"GGB80011_SGB15265",0.0126347316451709,0.00345268335783609,0.0483908633011758,0.000829788669326877,0,0.0375921893767251,0,6.80982210676835e-05,0,0,0.114290028857386,0.00423840205251088,0.0503105946812396,1.53534008785366e-05,0,0,0.000632416166565401,0.000171233313387669,0.0137837214391236,0.0106561315913769,0,0.0102050961822242,0,0,0.0229678414867393,0,0.000751137668947559,0,0.0138033815249511,0.0443868829794063,0,0.00098957505526981,0.00664199223725637,0,0.0687543084998471,0.000324765326791106,0.000880925151527513,0.00965208265184545,0.00668074344166985,0.0036619116195917,0.0792659549763021,0.000137113407930584,0.00127876068666995,0.000122240903032917,6.00174283863409e-05,0,0.0574742969008938,0.00700352420034039,0,0,0,0.000429157211261878
"Gemmiger_SGB15299",0,0,0,0,0,0,0,0,0,0,0.000189885792772192,0,0,0,0,0,0,0,0.000720001079143317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300553862204711,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB2998_SGB3988",0.000240068900884163,0.000428406153587993,0.00070134610422404,0,0,0.00167760015393646,0,0,0,0,0.000180636126126162,0,0,0.00173002336091108,0,0,0,0.00131419098731618,0,0.00194704716817375,0,0,0,0,0.00959487120025757,0,0.000465016470149822,0,0,0.0035796433638203,0,0,0.00277873393002544,0,0.00245445504283355,0.0155441804201089,0,0,0.00107920234744898,0.00378877222458839,0,0.000785463945201007,0,0,0,0,0.00493434325018998,0.00063707388259911,0.00571692257518105,0,0,0
"GGB9614_SGB15049",0,0.000106198276732371,0.00226526181139481,0,0,0,0,0.00166202473209501,0,0,0.000136861607231138,0,0.0133371700897836,0,0.00214088466330072,0.00195617564355492,0.00565785425271996,4.09666120109737e-05,0,0.000326422984102245,0,0.000222320466173631,0.0245604487523012,0,0.000365450553152723,0,0.00631189191557391,0,0.00302704687105193,0.00285925763623037,0,0.051837925510305,0,0,0.000222075750317051,0.00424956652316246,0,0.00653360831669776,0.000683466786659177,0.000355282694957012,0,0.00224234252078876,0,0.0137336779474052,0.000483253268732668,0.00156132779762872,0.000369014123639911,0.00223357495734337,0,0.0123100834205151,0,0.00201615094471009
"Rheinheimera_SGB14999",0.00638320225344613,0.000403064914715073,0.000601104653026856,0,0,0.000916911337175033,0,0.00257707834071221,0,0,0.00250422366847301,0.00124121486091947,0.00232021379772143,0.00151927107227581,0,0,0.00162342530681133,0.000290591469006697,0.00175090945148675,0.000420501144190868,0.000415888081682134,0,0.0553261101147893,0,0.00260676397837839,0.000379979488741782,0.00338597803251025,0.00146832917751873,0.00158042212951803,0.000502561254267277,0.000137721586438122,0.00035430972296402,0.00391255832669184,0.00959574559030093,0.000739299876133496,0.00152484602028939,0,0.00259469962275369,0.00584948938066729,0.00225450650714263,0.00208643772361774,0,0,0.00728556784932186,0.0160848813243008,0.00285353623536198,0.00140121168777569,0.00290528504972655,0,0,0,0.00325338038983604
"Vescimonas_coprocola",0.0125154019182234,0.0293791986934742,0.00649985129860182,0.000600187715901402,0,0.00010163052628668,0,0.114764958082494,0,0,0.00185291564823708,0.0569297281306287,0.040152861930958,0.0242032940714749,0,0,0.00994883918607031,0.00404272198514486,0,0.324686024070361,0,0.00427901658689278,0.000557298957081472,0.000294723115058392,0.00377014126584191,0.000415992408236812,0.00905632512485357,0.00183408352414242,0.0116402386420396,0.0128542109917316,0.00092554231881563,0.0355694548872421,0.0084998348040422,0.000523991697007763,0.0340895927491867,0.00373557193959483,0.000174396261913262,0.0207528692907451,0.00548664357641265,0.380515722590424,0.000355608292400044,0.00097624641006076,0.000312503804870667,0.0357747900425647,0,0.0322160416663432,0.000804701522940642,0.00138760672195059,0,0.000427985624287867,0.00552579959348922,0.0592288311565611
"Flavonifractor_plautii",0.000236417774412555,0.00181501562600027,0.00373568507927392,0.00550186363343576,0.0967816061037373,1.87875612146154e-05,0.00120545312247488,0.0548535180637192,0.0240343379285794,0.0692412165757155,0.000189388834792182,0.000398792284667003,0.00792214814883781,0.072179607874485,0.020860850983969,0.000393871737647582,0.00752885276313963,0.00122079687153277,0.0248888457069398,0.00289837159142443,0.0082555114168889,0.00778733721593047,0.0735128352433379,0.022189610526316,0.00016201295059843,0.00407473492390555,0.00223271985293445,0.020454289419276,0.00227744170472825,0.000202525049451492,0.00187487266216836,0.128283946695903,0.00187432672775712,0.435616445633787,0.00167704754738085,0.0616990330208756,0.00672919334117096,0.00208225521991306,0.00174010261184319,0.00939190929386607,0.215559614568262,0.00178720450623861,0.0557403711718174,0.0183775613101023,0.0618143755429338,0.0015613357620338,0.00266350178054126,0.00109037084748098,0.00463071540079413,0.00135821924473707,0.00600920570021598,0.00550142865903081
