"","SRR13836088","SRR13836076","SRR13836083","SRR13836070","SRR13836086","SRR13836068","SRR13836077","SRR13836099","SRR13836098","SRR13836152","SRR13836178","SRR13836143","SRR13836172","SRR13836139"
"Butyricimonas_virosa",0,0,0,0.00388391087031384,0,0.000701768448610174,0.0134698613746082,0,0,0.0326457229589861,0,0,0.0127177920164179,0
"Escherichia_coli",0.0566089958847663,0.000389861406665032,0.00728859728386529,0.0558320771617204,0.00407550054352714,0.00407061959966902,0.0316247976352244,0.695701335910628,0.0684587776392392,0.000920980724202154,0.00425308422511891,0.0108001551093647,0.0304199816100235,0.0174396275824251
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,0.000201595113562776,0,0,0,0
"Bacteroides_stercoris",0.417973137090837,0.221700172379865,0.0557137440380568,0.130768774388428,0.0022377387015814,0.143526367434233,0.0819561276827501,0.00279079743424252,0.147855372649446,0,0.00645128832630161,0.402815647135295,0.291455436303051,0.120155810241281
"GGB9747_SGB15356",0,0,0.0546060338408229,0,0,0,0,0,0,0,0,0.114049599887147,0,0
"Clostridiales_bacterium_KLE1615",0.000902971980700329,0.00212132454245405,5.06316440478752e-05,6.63319214401989e-05,0.0114024911274851,0,0,0,0.0359610612297965,0.0134526286800454,0,0.00493617119821002,0.000642788853048363,0.00107350732213856
"Blautia_faecis",0.00144798793193796,0.0112158808627392,0.00496367809215901,0.00936368149916651,0.00862767178305326,0.000865352082811394,0.000557517088883583,0.00186591097139346,0.0144882914259542,0.0151085562025035,0.00422271309532898,0.000369578094671531,0.000392682485631898,0.0075898060069333
"GGB9512_SGB14909",0.0084814756237751,0,0.000640277149288092,0.00326474496169485,0.000262598564892458,0,0,0,0,0,0,0,0,0
"Candidatus_Cibionibacter_quicibialis",0.143019003618094,0.089370829693988,0.00911869568017395,0.0322363014628079,0.00348087826925782,0.352540195298792,0.151428771639518,0.0316178241209307,0.0889853470627236,0,0.0675518920269482,0.0152518248645348,0.0316462510997477,0.36761834476967
"Blautia_obeum",0.0011820077850498,0.00364383302226578,0.00139689487764465,0.0008106425502857,0.0262016539128051,0.00174427411312895,0.00171166933899436,0.00327606798723613,0.00191361208035531,0.019079485930696,0.00145415336887625,0.00256455369205563,0.000399195996948795,0.00104627737384513
"GGB9635_SGB15106",0,0,0,0,0,0,0,0,0.000116498163768774,0,9.86897657609147e-05,0.00132826697702148,0,3.49948031070784e-05
"Coprobacter_secundus",0,0,0,0.000276459685683189,0,0,0,0,0,0,0.00230532502228081,0,0.00208237764281719,0
"Anaerostipes_hadrus",0,0.00146358495257578,0,0.000108114086882128,0.00971880097352048,0.00143381974435567,0,0,0.00466699393866622,0.0128676503732798,0.00256752562663643,0.00281449260439026,0.000328767171182476,0.00641785402489269
"Lachnospiraceae_bacterium_AM48_27BH",0,0,0,0.00401757684147858,0.0029110046083356,0.00044197553963386,0,0,0,0.00928995586354238,0.00264146178839117,0.0263958440209942,0.00643528190857767,0.00202816752259679
"Blautia_sp_MSK_20_85",0,0,0,0,0,0.0028924676629782,0,0,0,0,0,0.000959298992432195,0,0
"Bacteroides_salyersiae",0.0255240284943649,0.0230589090305153,0.131590864348202,0,0.0630956471344833,0.00615534023268978,0.0584489958562054,8.91001117500443e-05,0,0,0.000203874439416738,0,0,0
"Fusicatenibacter_saccharivorans",0.00781669332712587,0.00990157657663138,0.00198890751044791,0.00312960103951669,0.0126931612015458,0.00933398791484075,0.006226583308684,0,0.0149341942298407,0.0293250163424763,0.0229651400768816,0.0184342161877041,0.00135035447230815,0.0135066017764236
"Anaerobutyricum_hallii",0.000286305665825443,0.0117702478176346,0,9.3467619412594e-05,0.00421851723045408,0.000303412261260688,0.000893761386335162,0,0.00799459502018416,0.0175107861237758,0.000574766635780613,0,9.2411064037606e-05,0.000994335688798443
"Clostridium_fessum",0.00440132348216239,0.00560263695238946,0.00131626607800173,0.0330036805782917,0.00241609880413799,0.00120136832545398,0,0.0226825960153969,0.0361663852597975,0.0403807403793573,0.00956554311015643,0.0269658438126692,0.00390582815664585,0.00450634075551115
"Lachnospira_eligens",0.00676580067503516,0.0225968798227332,0.00412152308404084,0.00681795664153902,0.152398151649356,0.000271145970636108,0.00143859232333115,0.345893695942811,0.0014584254160352,0.193623780492461,0,0.000280884830170398,0.000962297145092809,0.00813143634082729
