"","SRR13836080","SRR13836083","SRR13836084","SRR13836072","SRR13836096","SRR13836087","SRR13836060","SRR13836071","SRR13836058","SRR13836094","SRR13836073","SRR13836091","SRR13836174","SRR13836161","SRR13836175","SRR13836156","SRR13836177","SRR13836164","SRR13836138","SRR13836131","SRR13836147","SRR13836176","SRR13836143","SRR13836148","SRR13836145","SRR13836160"
"Phocaeicola_dorei",0.00063979021364962,0.000159315431127794,5.76254932956327e-05,0.0198754383626944,1.20362003366532,0.174588045578708,0.000714542388778202,0.00240982561772243,0.669599379613231,1.45611439673768,0.00990218584081973,0.00412081370371575,0.00896665371568796,0.502315778161438,0.000953755195366995,0.00692975240348445,0.00116122792532516,0.0244241839320504,0.26570921232022,0.344114838537343,0.0243349975199273,0.00282929005610883,0.00328957871850309,0.00152628647291077,0.547534835552179,0.000653376379567249
"Ruminococcus_bicirculans",0.00700723745574268,0.000420244765546844,0.000119246102598042,0.00135137099618462,5.27386821538394e-06,0.000102579213433046,0,0.0186864541626156,0,0.00217642334158186,0.0225990455573593,0.0761419761222815,0.00149032624313734,6.04646129961881e-05,0.00220587295336996,0,0.00493548246610984,0,0.000374560603636178,0.0689432507672472,0.00374000602577708,0.00104004460830944,0.0466425906116743,0.000709442632158182,0.00155816414044078,0.00803667719803893
"Bacteroides_ovatus",0.00307038867041412,0.0782850535376916,0.0545810850524985,0.00457731410002375,0.000294486135623264,0.00207240668152534,0.00298395173538133,0.0084629305276418,0.00115049377298254,0.0950119659678186,0.00637287900723002,0.0359439070357496,0.00853718470031397,0.023702318999874,0.0417784355329998,0.104146233303186,0.0125982221271911,0.0953252318288166,0.381469068120953,0.00706489793364069,0.00761333773589694,2.19472937856185,0.00640447374832587,0.307634731025657,0.0138398330932402,0.374775625815315
"Lachnospiraceae_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794892996918763,0.000787568830110468,0,0,9.57244197283797e-06,0,0.000157344112618381,0,0,0.000557228333542806
"Faecalibacillus_intestinalis",0.000115256294090574,0.000440391394671515,0,0,0,0.000215985187466332,0,0,0,0.00100504403307198,0.000123387195777367,7.77992547431696e-05,0.00030695425258696,0,0,0.00010666349857515,0,0.0010571570634934,0,0.000209738032597736,0.000349022907936664,0,0.000919957587215338,0.000305162229734539,0,0.00273115463338219
"GGB3612_SGB4882",0,0,0,0,0,0.000146685750839654,0,0,0,0,0,0,0.0116340190801842,0,0.000567765069332668,0,0,0,0,0,0.000113210712496489,0,0,0,0,0
"Blautia_wexlerae",0.00185893177921643,0.0006162390490652,0.0030341940440498,0.00548881516866195,0.000854360657669926,0.00053668755389649,0.00150908128774029,0.212423676159891,0,0.000427637577714742,0.00154845455580314,0.0102366956448349,0.000471147418499743,0,0.00988177918436665,0.00170813230065201,0.000666447988487073,0.00283712330204244,0.000598121025813361,0.00366949348483914,0.00153698662384454,0,0.00405557474799754,0.00138389622619059,0.00155397595008137,0.0121222599480088
"Eubacterium_siraeum",0,0,0,0,0,0,0,0,0,0,0,0.00137652604471341,8.59480649652812e-05,0,0.157617618969033,0,0,0,0,0.110161158593836,0,0,0,0,4.86497859156884e-05,0
"Eubacteriaceae_bacterium",0.003642978354195,0.000113603639333464,0.00511996048970246,0,0,0.00290288669273619,0,0,0,0,0.000547984831079784,0,0.00122318745538307,0,0,0,0.045974092368812,0.0283303955029496,0.0227770089553345,0.00673902019199699,0.00491639509133107,0,0.00497337186406363,0,0,0.00111336704917016
"GGB3653_SGB4964",0.00834649054935104,0,0.000172059334640882,0,0,7.2617846335408e-05,0,0,0,0,0.000654953916562423,0,0.00159854145435261,0,0,0,0,0,0,0.000501059976588383,0.000351222742737594,0,0.00289638727286103,0,0,0
"GGB3614_SGB4886",0,0,0,0,0,0,0,0,0,0,0,0,0.00771399125805475,0,0,0,0,0,0,0,0.00117708595054067,0,0.00115676003921511,0,0,0
"Staphylococcus_SGB6340",0,0,0,0,0,0,0,0,0,0,0,0,0.00231524990000419,0,0,0,0,0,0,0,0.00108331977739801,0,0,0,0,0
"Parabacteroides_merdae",0.033925956019433,0.0329003212744449,0.0851310954490272,0.0032862559035736,4.75197234026928e-05,0.0407275268758926,0,0.000273841069057668,0.000134378767363238,0.0856768683035251,0.0132093562037037,0.0184176645753838,0.0223226950668902,0.18305260230959,0.0409209219989411,0.0700279863060797,0.000430572788256522,0.0783364468685348,0.199702034164445,0.000508119658786617,0.0406149010318227,0.00161562019128475,0.120992951375056,1.33131072770881e-05,0.000124853219153131,0.0002366352723248
"Phascolarctobacterium_faecium",0.00034313681228569,0.00120217151087695,0.00772636138785644,0.0150150767381426,0.000416491599797496,0.12793855563917,0.00514251662163905,0.00369970220171633,0.000320826496903426,0.0980013505135682,0.00392397263063802,0.0399411334310649,0.222906036533208,0.0671223549055368,0.00649563575384132,0.0471805973594759,0.000401285005726109,0.109556279288153,0.00220442504258834,0.00174908099979179,0.0572684778988597,0.00229263110324998,0.0135971324329911,0.112510646130201,0.0670837088961698,0.000908055759633919
"Clostridiaceae_bacterium",0.00211332844829716,0.00558589766014246,0.0299155294547533,0,0,0.000401321891371457,0,0.00986344571572825,0,0,0.0010545205686555,0.00218396868631947,0.00384049930767256,0.000131808139819762,0.0142296401074428,0.00014554953180459,0.000563102333183508,0.0594696877206643,0.000129199184696269,0.000836227622752002,0.014695309857379,0.00595212887265011,0.00592334231831003,0.00165006528487376,0,0.00470788458736227
"Faecalicatena_fissicatena",0,0.000575493190026178,0.00154265237663815,0,0,0.00316679309916282,0,0.00215423464217298,0,0,0.00162299549482744,0.00162135016555714,0.00240117823701971,0,0.000126808009568386,0,0.00071983576988325,0.00881151937594459,0,0,0.00130780979634637,0,0.00212318134601871,0,0,0.0155166188916093
"GGB51269_SGB5062",0,0,0,0,0,0.000593837437617504,0,0,0,0,0,0,0.0199760128428275,0,0.000229879361906886,0,0.000852525004695157,0,0,0.0239726402084729,0.000746052785362253,0,0.00896297776655836,0,0,0.00249126043620138
"Blautia_sp_Marseille_P3087",0,0.000442747813386339,0,0,0,0,0,0.00617575437788421,0,0,0,0,0,0,0,0,0,0.000513223848608248,0,0,0.000170558848855451,0,0,0,0,0
"Butyricimonas_virosa",0,0,0.000148523414263315,0,0,0.0221667614507146,0,0,0,0,0.00119866919820486,0.0051935221413918,0.00100177840634283,0,0,0,0,0,0.00451072572019749,0,0.0026333181906506,0,0,0.0221765528431925,0,0
"Escherichia_coli",0.000896349830984167,0.00227988436706662,0.0011953538666875,3.26356648272309,0.0511753225243483,0.00425540770094528,0.0176758170857303,0.000797423231750949,0.187570619075158,0.530536873896406,0.0073675854882929,0.0272664688363818,0.00329750187374513,0.00195177572628825,0.00157801934753494,0.0200547973929773,0.00698150860210052,0.011377509332615,0.0015610725038695,0.0106544189168601,0.0013640209429571,0.133634340728089,0.00540555589698015,0.248677797187666,0.0832778657241603,0.00824660858506569
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0.0026759303675307,0.000355413689818709,0.000702708525678444,0,0,0,0,0,0,0,0,4.80093778764931e-05,0,0,0,0,0,0,0
"Bacteroides_stercoris",0.0326625179952179,0.0296385169183397,0.00327677712564636,0.00246320318620687,0.000934885017127941,1.68241540950059,0.000304113536617363,0.000988140632292929,0.000513149416486626,0.00105389285445567,0.0239580191610592,0.0129573827843398,0.018025479967431,2.22170398235383,0.218822893867042,0.289019413974843,0.224146540869852,0.000158542241727201,0.0110234080213545,0.0042924210780321,0.0349943542364247,0.0347459424605781,0.0968169590073399,0.0152772616624303,1.91914738217533,0.00621717822280325
"GGB9747_SGB15356",0.00396581259100798,0.0389528737553352,0,0,0,0,9.85595057900574e-05,0,0,0,0.0901114573342476,0,0.0176953712875985,0,0.00136330322886837,0.000170854313881263,0,1.11709873709369e-05,0,0,0.148824792391176,0,0.0752730257316092,0,0,0
"Clostridiales_bacterium_KLE1615",0.000241759179121124,2.63692725163892e-05,1.39395001059428e-05,0,0,0.000102031219479555,0,0,0,0,0.000546575605911151,0.000363741570337579,0.00044207057621744,0,0,0,1.41340026949828e-05,0.00135894496687342,0,0.00400023114366233,0.00268390000356421,0,0.000916517549831616,0.00135082092944903,0.000202346627724478,0.00582054083934448
"Blautia_faecis",6.58643262150172e-05,0.00387049719915686,0.000863888393886538,0,0,2.91052563182263e-05,0,0.00367741797197656,0,0,0.000181801960247895,0.00111599153717072,0.000339180944692948,0,0.000236302721830714,0,0.000399879346986306,0.000183510040782212,0,0.00121704927169868,5.14952195071739e-05,0,0.000149643093096187,0,0.000263939282848723,0.00542670947685684
"GGB9512_SGB14909",0,0.000488823681102009,0,0,0,0,0,0,0,0,9.75753298479324e-05,0,0,0,0,0,0,0.00336448801527552,0,0,0,0,0,0,0,0
"Candidatus_Cibionibacter_quicibialis",0.0303263933023554,0.00262002509461557,0.00273256083340275,0.00129975928185771,0.0268391558116083,0.00253404675449824,0,0.000115263120391178,0,0.000355637746199653,0.00815886864226796,0.0307419848173249,0.00179066544435196,0,1.52773324006546e-05,0.000205564292401189,0.0119847113821492,0.0146848979513811,2.58775449742311e-05,0.0148913499632057,0.00426147139829261,0,0.0111399228042156,0,0.000451644759431951,0.0319006591338058
"Blautia_obeum",9.03501354766881e-06,0.000698349075845317,8.67248545203583e-05,0,0,5.71877928243974e-06,0,0.00943969014301566,0,0,0.000126157617465687,0.00145927889180982,0.000265047413204038,0,0.0058246373236926,0,0,0.00485423823842466,0,0.00123712980350901,0.000134170633519289,0.00745761553260777,0.00275641658663046,0,0,0.0109376914823727
"GGB9635_SGB15106",0.0101619684763396,0,0.00018787237137216,0,0,0.00916024490667005,0,4.40935423101576e-05,0,0,0.121306709264966,0,0.150164893983867,0,0.00669583796064191,0,0,0,0.000149331784269803,0.00043664021211614,0.491569907463702,9.89570996217446e-05,0.000507150028771373,5.51740646530255e-06,0.000275789328815012,0
"Coprobacter_secundus",0.000417804183595671,0,0,0,0,0.00117824390363679,0,0,0,0,0,0,0,0.00182954141370075,0.00123006513371663,0,0.0365211404678702,0,0,0,0,0,0,0,0,0
