Repeat,Mean AUC,AUCs
30,0.6978670634920634,"[0.6388888888888888, 0.7500000000000001, 0.7777777777777778, 0.6507936507936507, 0.671875]"
31,0.7089781746031746,"[0.6805555555555556, 0.763888888888889, 0.7777777777777778, 0.6507936507936507, 0.671875]"
32,0.706671626984127,"[0.6666666666666667, 0.8055555555555556, 0.7777777777777778, 0.6349206349206349, 0.6484375]"
33,0.7016865079365079,"[0.6736111111111112, 0.75, 0.7777777777777778, 0.6507936507936507, 0.65625]"
34,0.7110615079365079,"[0.7083333333333334, 0.7777777777777778, 0.7777777777777778, 0.6507936507936507, 0.640625]"
35,0.6867559523809523,"[0.6736111111111112, 0.7222222222222222, 0.7777777777777778, 0.6507936507936507, 0.609375]"
36,0.6894345238095239,"[0.6805555555555556, 0.7916666666666667, 0.7777777777777778, 0.6190476190476191, 0.578125]"
37,0.6967757936507937,"[0.6527777777777779, 0.7777777777777778, 0.7777777777777778, 0.6349206349206349, 0.640625]"
38,0.7099702380952381,"[0.673611111111111, 0.7916666666666667, 0.7777777777777778, 0.6349206349206349, 0.671875]"
39,0.7022817460317461,"[0.6388888888888888, 0.8055555555555556, 0.7916666666666666, 0.6190476190476191, 0.65625]"
40,0.7019345238095238,"[0.6805555555555556, 0.7777777777777778, 0.7916666666666666, 0.6190476190476191, 0.640625]"
41,0.7242559523809524,"[0.6527777777777779, 0.8055555555555556, 0.7777777777777778, 0.6507936507936507, 0.734375]"
42,0.6942956349206348,"[0.6527777777777778, 0.75, 0.7777777777777778, 0.6190476190476191, 0.671875]"
43,0.6942956349206348,"[0.6527777777777778, 0.75, 0.7777777777777778, 0.6190476190476191, 0.671875]"
44,0.720734126984127,"[0.6805555555555556, 0.7777777777777778, 0.7916666666666666, 0.6349206349206349, 0.71875]"
45,0.7015873015873015,"[0.6805555555555556, 0.7916666666666666, 0.7916666666666666, 0.6190476190476191, 0.625]"
46,0.7121031746031746,"[0.6805555555555556, 0.763888888888889, 0.7777777777777778, 0.6507936507936507, 0.6875]"
47,0.6964285714285714,"[0.6666666666666667, 0.7777777777777778, 0.7777777777777778, 0.6349206349206349, 0.625]"
48,0.7266369047619048,"[0.6944444444444444, 0.7777777777777778, 0.7916666666666666, 0.6349206349206349, 0.734375]"
49,0.7026785714285715,"[0.6527777777777778, 0.7777777777777779, 0.7916666666666666, 0.6349206349206349, 0.65625]"
50,0.699156746031746,"[0.6944444444444444, 0.763888888888889, 0.7777777777777778, 0.6190476190476191, 0.640625]"
