Repeat,Mean AUC,AUCs
23,0.7131944444444445,"[0.7500000000000001, 0.75, 0.7986111111111112, 0.6111111111111112, 0.65625]"
24,0.7241815476190476,"[0.6597222222222223, 0.7916666666666666, 0.8472222222222222, 0.626984126984127, 0.6953125]"
25,0.7235119047619047,"[0.7361111111111112, 0.7430555555555556, 0.8472222222222222, 0.6349206349206349, 0.65625]"
26,0.6879960317460317,"[0.6875, 0.75, 0.8055555555555556, 0.6031746031746033, 0.59375]"
27,0.7189484126984127,"[0.6944444444444445, 0.7777777777777779, 0.8472222222222223, 0.6190476190476191, 0.65625]"
28,0.6508680555555555,"[0.6111111111111112, 0.75, 0.7361111111111112, 0.5555555555555556, 0.6015625]"
29,0.6749503968253968,"[0.6180555555555556, 0.6875, 0.7777777777777778, 0.6507936507936507, 0.640625]"
30,0.7046378968253968,"[0.6597222222222223, 0.7083333333333334, 0.7777777777777778, 0.6507936507936508, 0.7265625]"
31,0.7065724206349205,"[0.6805555555555556, 0.736111111111111, 0.7777777777777778, 0.6587301587301587, 0.6796875]"
32,0.690749007936508,"[0.6458333333333334, 0.7152777777777778, 0.7777777777777778, 0.6507936507936509, 0.6640625]"
33,0.7057291666666667,"[0.6180555555555556, 0.7361111111111113, 0.8125, 0.6666666666666666, 0.6953125]"
34,0.6969246031746031,"[0.6944444444444444, 0.7361111111111112, 0.7708333333333334, 0.626984126984127, 0.65625]"
35,0.6904513888888889,"[0.6180555555555556, 0.7569444444444444, 0.8333333333333334, 0.6111111111111112, 0.6328125]"
36,0.6928323412698413,"[0.6666666666666666, 0.763888888888889, 0.8055555555555556, 0.5952380952380952, 0.6328125]"
37,0.6605158730158729,"[0.6111111111111112, 0.6875, 0.7916666666666666, 0.5873015873015872, 0.625]"
38,0.7002976190476191,"[0.5555555555555556, 0.763888888888889, 0.875, 0.6507936507936507, 0.65625]"
39,0.6631944444444444,"[0.6805555555555556, 0.6527777777777778, 0.7847222222222223, 0.6666666666666667, 0.53125]"
40,0.6617559523809524,"[0.638888888888889, 0.7500000000000001, 0.7847222222222222, 0.6507936507936507, 0.484375]"
41,0.7054563492063493,"[0.6875, 0.8055555555555556, 0.7430555555555556, 0.6349206349206349, 0.65625]"
42,0.6994295634920634,"[0.7291666666666666, 0.7083333333333334, 0.7777777777777778, 0.5396825396825397, 0.7421875]"
43,0.6769345238095238,"[0.5902777777777779, 0.7430555555555556, 0.7916666666666666, 0.619047619047619, 0.640625]"
44,0.7019097222222223,"[0.6736111111111112, 0.8472222222222222, 0.7916666666666666, 0.611111111111111, 0.5859375]"
45,0.676438492063492,"[0.6944444444444444, 0.7708333333333333, 0.7916666666666666, 0.5158730158730159, 0.609375]"
46,0.6834573412698413,"[0.6458333333333334, 0.763888888888889, 0.8194444444444444, 0.5396825396825397, 0.6484375]"
47,0.7201636904761906,"[0.6944444444444444, 0.8541666666666666, 0.7847222222222222, 0.6190476190476191, 0.6484375]"
48,0.715500992063492,"[0.7152777777777778, 0.7569444444444444, 0.7986111111111112, 0.626984126984127, 0.6796875]"
49,0.7322668650793651,"[0.6666666666666667, 0.8263888888888888, 0.7986111111111112, 0.6587301587301587, 0.7109375]"
50,0.6875,"[0.6666666666666666, 0.6944444444444444, 0.7777777777777778, 0.6111111111111112, 0.6875]"
